law,pixels,path
warm?,7,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[349].b64
PURPLE,54,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[359].b64
PURPLE,119,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[364].b64
warm?,32,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[365].b64
warm?,29,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[370].b64
warm?,46,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[373].b64
PURPLE,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[373].b64
warm?,57,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[374].b64
warm?,32,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[376].b64
warm?,34,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[377].b64
warm?,33,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[380].b64
warm?,38,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[381].b64
warm?,42,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[382].b64
warm?,73,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[386].b64
warm?,33,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[387].b64
PURPLE,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[387].b64
LAVA,29,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[403].b64
LAVA,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[411].b64
warm?,97,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[412].b64
PURPLE,124,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[416].b64
PURPLE,84,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[420].b64
PURPLE,147,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[423].b64
PURPLE,272,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[424].b64
PURPLE,575,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[433].b64
PURPLE,122,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[434].b64
warm?,249,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[441].b64
warm?,36,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[443].b64
PURPLE,21,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[443].b64
warm?,247,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[448].b64
PURPLE,11,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[455].b64
PURPLE,236,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[456].b64
warm?,603,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[461].b64
LAVA,8,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[464].b64
warm?,662,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[467].b64
warm?,676,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[468].b64
warm?,485,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[469].b64
LAVA,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[470].b64
warm?,566,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[471].b64
warm?,383,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[472].b64
warm?,70,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[473].b64
warm?,462,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[475].b64
warm?,77,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[476].b64
warm?,186,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[477].b64
LAVA,18,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[478].b64
PURPLE,81,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[484].b64
warm?,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[491].b64
warm?,40,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[504].b64
PURPLE,4,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[504].b64
warm?,14,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[511].b64
PURPLE,32,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[511].b64
